name,category,market_name,product_url,product_id,price,manufacturer,amount,measure
Говядина вырезка п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-vyrezka-p-f-okhlazhdennyi-kg,41952,1263.0,"ООО ""О'КЕЙ""",1.0,кг
Свинина вырезка п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-vyrezka-p-f-okhlazhdennyi-kg,41953,491.9,"ООО ""О'КЕЙ""",1.0,кг
Свинина корейка на кости п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/svinina-koreika-na-kosti-p-f-okhlazhdennyi-kg,41959,390.9,"ООО ""О'КЕЙ""",1.0,кг
Телятина лопатка на кости п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/teliatina-lopatka-na-kosti-p-f-okhlazhdennyi-sp-kg,42601,658.9,"ООО ""О'КЕЙ""",1.0,кг
Телятина грудинка на кости п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/teliatina-grudinka-na-kosti-p-f-okhlazhdennyi-sp-kg,42612,502.9,"ООО ""О'КЕЙ""",1.0,кг
Телятина филейная часть на кости п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/teliatina-fileinaia-chast-na-kosti-p-f-okhlazhdennyi-sp-,42614,680.9,"ООО ""О'КЕЙ""",1.0,кг
Телятина окорок на кости п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/teliatina-okorok-na-kosti-p-f-okhlazhdennyi-sp-kg,42616,680.9,"ООО ""О'КЕЙ""",1.0,кг
Телятина подбедерок на кости п/ф охлажденный СП кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/teliatina-podbederok-na-kosti-p-f-okhlazhdennyi-sp-kg,42617,525.4,"ООО ""О'КЕЙ""",1.0,кг
Говядина лопатка без кости п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-lopatka-bez-kosti-p-f-okhlazhdennyi-kg-8151-parent,42704,559.9,"ООО ""О'КЕЙ""",1.0,кг
Говядина тазобедренная часть без кости п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/goviadina-tazobedrennaia-chast-bez-kosti-p-f-,42707,459.0,"ООО ""О'КЕЙ""",1.0,кг
Говядина шея без кости п/ф охлажденный кг,"Мясо, птица, колбасы",okey,/spb/miaso-ptitsa-kolbasy/miaso-20/goviadina-sheia-bez-kosti-p-f-okhlazhdennyi-kg,42708,558.9,"ООО ""О'КЕЙ""",1.0,кг
